User ID,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9
1490,33.29626,-9.108124,-35.110836,10.320337,4.4543805,-101.23639,14.161858,8.587672,-21.345516,-27.581144
1492,23.139887,-85.397545,-26.60705,114.535034,97.98497,-271.43173,51.791386,54.07627,15.373661,10.534753
1493,25.937475,-49.903736,-28.958353,66.11517,54.443222,-190.20677,34.558937,32.516792,-0.50745213,-6.0902767
1495,27.899843,-84.969406,-31.801077,113.55913,96.42317,-283.07153,53.30451,54.256172,11.44015,5.541198
1496,21.104582,-5.8909707,-22.282902,6.730509,2.949228,-64.62327,9.021298,5.503309,-13.468782,-17.462551
1500,19.692123,-25.710901,-21.850744,33.9185,26.7172,-113.79825,19.856264,17.37745,-4.943299,-9.356105
1502,30.13804,-5.3587947,-31.546776,5.366297,0.2574827,-83.494026,11.139979,5.7232876,-20.393112,-25.970587
1503,29.299023,-77.7803,-33.291706,103.72209,87.37444,-269.06183,50.061497,49.882187,7.5220156,1.3224297
1504,25.736002,3.8715825,-25.384403,-5.6504846,-10.011076,-49.03591,5.6771894,-1.053895,-19.152596,-24.052633
1506,27.794025,-12.1775875,-29.792778,14.812097,9.208516,-97.50658,14.730359,10.060901,-16.132446,-21.598589
1507,17.91516,-106.24591,-21.149729,143.48099,124.19597,-307.59244,60.565468,66.107475,27.679108,24.418446
1508,19.547108,8.919039,-17.865534,-11.857294,-15.260797,-22.032541,0.61906624,-4.65173,-15.620734,-16.819275
1509,22.931696,-72.04513,-26.143484,96.3326,81.95628,-238.00284,44.937298,45.933342,10.300397,5.4512987
1510,29.771154,-11.450321,-31.7382,13.665663,7.966413,-99.834885,14.780679,9.799798,-17.827486,-23.64046
1511,15.281696,-88.11905,-17.920307,119.00713,102.938835,-256.26736,50.37531,54.921944,22.650888,19.798103
1513,29.919561,-4.597162,-31.1961,4.375322,-0.5033801,-80.821785,10.665173,5.232878,-20.450914,-26.000732
1514,21.211039,-69.75353,-24.255404,93.3736,79.55081,-227.90207,43.13408,44.4178,10.764114,6.2518845
1515,21.091125,-17.96615,-23.333838,23.213863,17.165154,-97.57106,16.08551,12.884406,-8.989371,-13.612197
1518,12.250615,-79.8666,-14.543479,107.99891,93.65642,-227.58885,45.06093,49.43471,21.807158,19.60488
1520,27.30295,-0.6595957,-28.015512,-0.5165742,-4.879523,-64.28047,7.9956093,2.2283385,-19.602068,-24.740898
1521,28.323484,-70.82221,-32.04182,94.35844,79.146935,-249.10326,46.169666,45.49013,5.598142,-0.36424947
1523,34.821907,-46.77715,-38.727924,61.709892,48.773632,-204.75676,35.788834,31.526636,-8.246812,-16.085571
1524,12.611537,-65.50816,-14.730411,88.301605,76.170715,-193.96492,37.918644,40.947914,15.85776,13.417936
1527,18.329472,-66.99521,-20.997826,89.86792,76.82206,-213.3191,40.698486,42.446003,11.963043,8.1224375
1531,32.982403,-8.055329,-34.704628,8.893681,3.0465765,-97.52456,13.430861,7.7979035,-21.496206,-27.630491
1532,10.003595,-49.670197,-11.61605,66.939354,57.740776,-148.23265,28.94466,31.134321,11.670222,9.682707
1534,9.444864,-49.597546,-11.10434,66.88562,57.71868,-146.63823,28.700428,30.974575,12.096958,10.287826
1537,37.306072,-18.681469,-40.200886,23.073627,15.098294,-137.45316,21.229105,14.922672,-20.794455,-28.237326
1538,24.057968,-27.644735,-26.713358,36.38441,28.096989,-129.56349,22.284103,18.931854,-7.460962,-12.805522
1540,21.36118,-40.77623,-23.8584,54.08383,44.41391,-155.94727,28.277218,26.565228,-0.5315439,-5.129287
1542,22.247952,7.617061,-21.3007,-10.135935,-14.226533,-31.681656,2.5741723,-3.4237761,-17.620317,-20.438215
1543,14.7652025,-81.2794,-17.312447,109.65752,94.78061,-238.10683,46.70074,50.71925,20.3641,17.590881
1545,21.087835,13.086979,-17.897812,-18.129698,-20.903406,-15.5666,-2.988546,-8.783328,-17.479721,-16.362177
1548,27.833658,-9.307049,-29.564459,10.895401,5.719679,-89.44613,12.878839,8.223712,-17.210308,-22.557465
1549,28.235462,-73.61496,-32.037792,98.09763,82.53839,-255.92987,47.524002,47.2682,6.719888,0.761523
1552,12.415564,7.730953,-10.514298,-10.780868,-12.392418,-9.015897,-1.8280253,-5.25541,-10.282072,-9.595435
1554,26.909184,-9.806664,-28.691294,11.5753975,6.4911647,-88.72598,12.948684,8.509822,-16.354986,-21.60045
1556,30.166233,0.33298331,-30.78728,-1.7892569,-6.8032007,-68.24095,8.418658,1.6147814,-21.899914,-27.636028
1560,36.754063,-11.495533,-38.935158,13.335943,6.5984516,-115.92649,16.528322,10.39111,-23.000528,-30.022444
1561,31.136946,-6.5768614,-32.610928,7.0044737,1.7054086,-89.09727,12.107851,6.671503,-20.67422,-26.445488
1562,15.254237,1.7782701,-15.143864,-2.8095248,-5.3907986,-30.260702,3.5769732,-0.3224549,-11.248289,-14.188438
1563,35.002113,-66.484665,-39.0546,88.11884,72.42024,-254.53653,46.19943,43.30348,-0.982728,-8.459281
1564,33.616787,-39.616642,-37.32491,52.087116,40.405033,-183.63286,31.634836,27.14231,-10.095634,-17.590769
1566,14.533069,-17.9975,-16.19959,23.657578,18.457684,-81.58634,14.105596,12.234795,-4.048363,-7.307012
1567,22.806936,-105.43874,-26.436052,141.93149,122.23041,-319.16803,61.964462,66.22753,23.517916,18.93519
1569,14.476008,-33.344086,-16.364647,44.340282,36.97757,-120.11054,22.098545,21.468925,1.7436647,-1.323884
1574,22.890068,-71.51878,-26.17799,95.58995,81.23484,-236.76999,44.616016,45.611183,10.078803,5.238796
1575,33.35739,-27.866812,-36.81759,36.011494,26.470154,-152.96268,25.165989,20.018017,-14.344157,-21.552963
1576,31.591078,-81.10524,-35.845634,108.04105,90.7665,-283.25107,52.510376,52.081306,7.0289097,0.36417222
1577,33.18572,-43.131767,-36.83991,56.867966,44.690426,-191.33241,33.331142,29.193573,-8.398555,-15.787641
1578,18.466593,2.9159222,-18.236948,-4.169123,-7.340069,-34.955006,3.9892902,-0.81675595,-13.788115,-17.298975
1580,29.209183,-36.99482,-32.451176,48.7626,38.26466,-166.06514,28.814825,25.141937,-7.766924,-14.326095
1581,10.945533,-6.3202577,-11.915225,7.9430156,5.414122,-42.652,6.7105026,4.9193816,-5.8174906,-8.063991
1582,37.59702,-44.54033,-41.707993,58.525333,45.44135,-205.78716,35.47578,30.477648,-11.19271,-19.605309
1584,31.14256,-5.3970013,-32.568024,5.377967,0.10673516,-85.83564,11.430254,5.823589,-21.108274,-26.847218
1585,33.879154,-85.27836,-38.346252,113.58544,95.301994,-299.50195,55.47775,54.803635,6.9271455,-0.20826697
1586,37.783524,-95.33093,-42.758896,127.04561,106.64156,-334.5206,61.97655,61.2907,7.797962,-0.18865943
1587,26.513939,-49.425316,-29.577793,65.45108,53.7513,-190.43538,34.486107,32.284103,-1.1093353,-6.832575
1588,30.965153,-54.780968,-34.50427,72.54541,59.185654,-215.13411,38.763027,35.90461,-2.367005,-9.102132
1590,15.267167,-74.28632,-17.78089,100.10632,86.27697,-222.68102,43.40342,46.54098,17.19346,14.143199
1592,30.21394,-30.385735,-33.4302,39.67625,30.08418,-151.52278,25.572487,21.276909,-11.0703535,-17.694862
1593,34.25532,-42.432163,-38.02312,55.845257,43.63622,-192.27625,33.312042,28.893656,-9.503028,-17.155943
1594,36.360085,-20.245115,-39.38116,25.263094,17.108044,-139.56514,21.855915,15.84143,-19.520138,-26.891825
1596,14.234626,-79.822716,-16.666248,107.79841,93.1866,-233.20795,45.765114,49.827526,20.22081,17.51714
1597,33.060986,-3.971093,-34.349773,3.4435968,-1.9137945,-86.36944,11.23157,4.962423,-22.853605,-29.047035
1599,16.309834,-24.648205,-18.118185,32.59742,26.117516,-102.685616,18.16601,16.433472,-2.8205948,-6.4112883
1601,21.929016,-88.12299,-25.155954,118.42001,101.58344,-274.5304,52.82591,55.60793,17.40888,12.911323
1602,19.63425,-60.95055,-22.464691,81.50159,69.28658,-202.12129,38.11222,38.87432,8.503659,4.332573
1603,13.588354,-92.26341,-16.134844,124.82917,108.29666,-261.17047,51.81841,57.028843,25.693247,23.26951
1604,27.029243,-42.31842,-30.122488,55.992058,45.061035,-174.04976,30.937069,28.057926,-4.0949717,-10.019719
1605,21.188068,-49.136665,-23.961794,65.30796,54.51585,-176.73665,32.528698,31.68059,2.6938856,-1.7670147
1606,18.393164,-62.514164,-21.082727,83.741394,71.42009,-202.54239,38.425396,39.6856,10.104238,6.217191
1608,30.332533,-40.444717,-33.71216,53.365425,42.090164,-177.5008,31.036955,27.222687,-7.292294,-14.053766
1609,18.055782,-54.414772,-20.566214,72.69454,61.66337,-181.73329,34.16666,34.768005,7.1996403,3.405387
1610,14.625115,-105.92969,-17.472086,143.20848,124.422325,-296.72958,58.89286,65.25348,30.36985,27.741913
1614,23.03063,-67.01182,-26.252481,89.46749,75.779366,-226.03612,42.347008,42.862423,8.185723,3.3157482
1617,22.550402,-5.7503176,-23.727703,6.4462075,2.4399166,-67.43328,9.335681,5.462851,-14.59071,-18.81743
1618,32.09994,-21.855442,-35.124657,27.80267,19.716162,-134.19087,21.597921,16.384888,-15.736499,-22.43656
1619,34.501842,-30.214767,-38.120487,39.192623,29.075254,-161.79965,26.78115,21.56211,-14.304668,-21.836535
1620,24.189644,-47.185566,-27.047564,62.517876,51.510757,-179.12378,32.539837,30.728416,-0.23389219,-5.454091
1621,35.302246,-96.06324,-40.143414,128.13753,108.0695,-330.06372,61.519768,61.53779,9.977634,2.5349228
1623,15.125695,-20.15074,-16.844591,26.609482,20.960337,-88.54203,15.433922,13.603723,-3.6448817,-7.0265274
