User ID,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9
1,-0.58532333,-0.23779823,-0.37571818,-0.103092626,0.035852395,-0.21889089,-0.92894965,-0.979406,-0.9504208,-0.39296025
2,0.29472676,-0.17755657,-1.4065886,0.92212254,0.21890955,-0.24535212,0.5116401,0.0247353,-0.7775597,0.438989
4,-0.3670381,-0.39154562,0.16160764,0.64841044,-0.65115,0.005465993,-0.2612874,-0.4389372,-0.08513838,0.928608
7,-0.29910082,0.067358606,-0.5915016,-0.36475214,0.08807833,0.8063645,-1.1280953,0.6022776,0.008854794,-0.36214006
8,-0.8413841,-0.33822542,0.07498905,0.92450076,0.022185132,-0.44956437,-0.18095282,-0.30766582,-0.83782524,0.34407973
9,0.020720422,0.07447059,0.17756471,-0.5863612,-0.16502586,-0.26351568,0.38841724,0.0705258,-0.81361794,1.0647881
10,0.5361123,0.72595185,-0.4553572,0.6021544,0.5366472,-0.4734535,-0.5379495,-0.22037156,-0.23192857,-0.8273775
11,0.20142967,-0.15873244,-0.57133055,-0.48948583,0.69410366,1.0509493,-0.59756255,0.021258114,-0.81140983,0.27841496
13,0.6762005,0.3185356,-0.2460973,-0.56266546,-0.21140862,-0.6692951,-0.004389129,-0.75779104,-0.499849,-0.7693728
14,-0.018742563,0.6230165,-0.6575422,0.08291386,-0.7560076,-0.7310598,0.11513477,0.56924325,0.29702505,0.3086896
15,0.35050192,0.021369502,-0.25387692,0.11197301,-0.25175136,-1.5805879,0.5875353,0.20132643,-0.78825986,0.10152178
17,-0.27896586,-0.4027086,-0.010936296,-1.3093759,0.57218766,-0.47461835,0.4683393,0.054318886,-0.40869424,0.769671
19,0.22365338,-0.56416607,-0.09250045,0.42960736,-0.0717482,0.037309825,-0.29120785,1.0921918,0.52045786,0.13604882
20,-0.48179334,0.47924542,0.238476,0.33712184,0.8634791,-0.13908179,-0.7138444,0.97709507,-0.85585016,-0.03275217
21,-1.0239515,0.22993803,-0.25015092,-0.25746465,0.37175822,0.9958907,0.61754084,0.59982616,-0.6315714,-0.6461895
25,0.06298305,-0.506983,-0.23163396,0.6518509,-0.3485053,0.17686778,-0.23488481,0.9932034,0.36224905,-0.111400366
27,0.9484429,0.24590975,-0.95989203,-0.86301875,0.13231246,-0.45554966,0.046522312,-0.37512785,-0.4805415,0.49107826
29,0.27217746,-0.80523294,-0.78250897,0.5324289,0.12543681,0.31904045,0.5083833,0.43181515,-1.1295632,0.41346335
30,-0.13805239,-0.699151,0.2870273,-0.27920175,-0.9152506,-0.59941673,-0.08191259,0.38344517,-0.4574507,0.7676608
31,-1.1681873,-0.1215288,-0.8028727,-0.16393021,0.19232628,0.92156094,-0.14840996,0.3639356,0.20409557,-0.74759465
32,0.2041519,0.5752398,-0.30381364,1.0995506,0.5459561,-0.94233537,-0.068883836,0.28455907,-0.2229519,-0.30099887
35,0.13412577,0.051551968,0.6084672,0.6509802,0.57085043,-0.67513657,-0.24187052,0.6998152,-0.4591357,-0.4850532
36,0.85644376,-0.37002712,-0.26428974,-0.5259448,-0.048591066,0.22820345,-0.013466619,0.95466685,-0.7322625,-0.66433024
37,-0.44570547,0.7305773,-0.19750415,0.11563673,0.52707446,0.40160227,-0.9244908,0.28461727,-1.0452929,-1.0563726
38,-0.5029077,-0.2882642,-0.37237367,0.025932755,0.23907124,0.759155,-0.8182682,-0.09722533,-1.2861122,-1.0401794
40,-0.645268,0.8289045,0.5036308,0.021286534,-0.25556883,-0.86295176,-0.04881169,0.5146321,-0.9336596,-0.26189342
